,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28,Species29,Species30,Species31,Species32,Species33,Species34,Species35,Species36,Species37,Species38,Species39,Species40,Species41,Species42,Species43,Species44,Species45,Species46,Species47,Species48,Species49,Species50,Species51,Species52,Species53,Species54,Species55,Species56,Species57,Species58,Species59,Species60,Species61,Species62,Species63,Species64,Species65,Species66,Species67,Species68,Species69
B_P_Jan,1,0,4,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,0,0,4,0,0,1,11,0,50,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,6,0,0,0
B_P_Feb,0,0,11,7,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,82,0,0,0,0,1,6,1,0,0,0,2,0,0,8,0,0,2,0,0,0
B_P_Mar,0,0,25,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0,0,4,0,0,0,0,0,0,8,0,0,0,0,2,55,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,6,0,1,0
B_P_Apr,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0
A_R_May,0,4,14,0,0,7,0,0,4,0,1,11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
A_R_Jun,0,0,11,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0
A_R_Jul,0,8,38,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,12,0,0,0,37,27,0,0,0,0,0,0,0,0,0,7,37,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
A_R_Aug,0,11,25,0,0,0,0,0,0,0,0,72,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,36,0,0,3,24,16,0,0,0,0,0,0,0,0,0,4,75,1,0,0,0,0,0,6,0,0,1,0,0,3,0,10,0,0,0,0,0
A_R_Sept,0,3,11,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,9,9,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
A_R_Oct,0,5,2,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
A_R_Nov,0,5,14,0,0,0,0,0,7,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,13,15,0,0,0,0,0,0,0,1,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,4,0,0,0
A_R_Dec,0,2,7,0,0,0,0,0,9,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,10,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,2,0,1,0
A_R_Jan,0,6,2,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,15,7,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,2,0,0
A_R_Feb,0,9,9,0,1,0,0,0,3,0,0,23,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,0,0,0,9,22,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0,0,1,0,0
